modelo,ensamble,anio_min_detectado,anio_max_detectado,anio_inicio_esperado,anio_fin_esperado,anios_presentes,anios_esperados,anios_faltantes,lista_anios_faltantes
EC-Earth3,r10i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r10i2p1f1,1960,2017,1960,2017,58,58,0,
EC-Earth3,r1i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r1i4p1f1,1960,2019,1960,2019,54,60,6,"2005,2006,2007,2008,2009,2010"
EC-Earth3,r2i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r3i1p1f1,1960,2018,1960,2018,58,59,1,1976
EC-Earth3,r4i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r5i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r6i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r6i2p1f1,1960,2017,1960,2017,58,58,0,
EC-Earth3,r7i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r7i2p1f1,1960,2017,1960,2017,58,58,0,
EC-Earth3,r8i1p1f1,1960,2018,1960,2018,58,59,1,1976
EC-Earth3,r8i2p1f1,1960,2017,1960,2017,58,58,0,
EC-Earth3,r9i1p1f1,1960,2018,1960,2018,59,59,0,
EC-Earth3,r9i2p1f1,1960,2017,1960,2017,58,58,0,
